"Timestamp","servingcell_RSSI","RSSI","RSRP","RSRQ"
"2024-08-29 14:39:05","-53","-55","-82","-11"
"2024-08-29 14:39:06","-55","-54","-82","-11"
"2024-08-29 14:39:07","-55","-52","-82","-12"
"2024-08-29 14:39:08","-55","-54","-83","-11"
"2024-08-29 14:39:09","N/A","-53","-83","-12"
"2024-08-29 14:39:11","-57","-56","-82","-11"
"2024-08-29 14:39:12","-57","-55","-83","-11"
"2024-08-29 14:39:13","-57","-50","-82","-13"
"2024-08-29 14:39:14","-53","-51","-82","-13"
"2024-08-29 14:39:15","-53","-52","-82","-14"
"2024-08-29 14:39:16","-53","-51","-83","-11"
"2024-08-29 14:39:17","-55","-53","-82","-12"
"2024-08-29 14:39:18","-55","-51","-82","-12"
"2024-08-29 14:39:19","-55","-53","-82","-12"
"2024-08-29 14:39:21","-55","-51","-82","-12"
"2024-08-29 14:39:22","-55","-53","-83","-11"
"2024-08-29 14:39:23","-55","-52","-83","-10"
"2024-08-29 14:39:24","-55","-55","-83","-12"
"2024-08-29 14:39:25","-55","-56","-83","-12"
"2024-08-29 14:39:26","-55","-51","-82","-13"
"2024-08-29 14:39:27","-53","-51","-82","-13"
"2024-08-29 14:39:28","-53","-51","-82","-13"
"2024-08-29 14:39:29","-53","-56","-82","-11"
"2024-08-29 14:39:30","-55","-49","-82","-12"
"2024-08-29 14:39:31","-55","-52","-83","-11"
"2024-08-29 14:39:32","-55","-52","-83","-12"
"2024-08-29 14:39:33","-55","-51","-83","-12"
"2024-08-29 14:39:34","-55","-54","-83","-13"
"2024-08-29 14:39:35","-55","-52","-83","-11"
"2024-08-29 14:39:36","-55","-51","-82","-11"
"2024-08-29 14:39:37","-55","-51","-82","-12"
"2024-08-29 14:39:38","-53","-52","-82","-12"
"2024-08-29 14:39:40","N/A","-52","-82","-11"
"2024-08-29 14:39:42","-57","-56","-82","-11"
"2024-08-29 14:39:43","-57","-52","-82","-11"
"2024-08-29 14:39:44","-57","-55","-82","-11"
"2024-08-29 14:39:45","-57","-56","-82","-11"
"2024-08-29 14:39:46","-57","-52","-82","-11"
"2024-08-29 14:39:47","-57","-56","-82","-10"
"2024-08-29 14:39:48","-53","-51","-80","-11"
"2024-08-29 14:39:49","-53","-51","-82","-11"
"2024-08-29 14:39:50","-53","-52","-82","-12"
"2024-08-29 14:39:51","-53","-52","-82","-12"
"2024-08-29 14:39:52","-53","-50","-82","-11"
"2024-08-29 14:39:53","-53","-53","-82","-11"
"2024-08-29 14:39:54","-53","-50","-82","-12"
"2024-08-29 14:39:55","-53","-51","-82","-12"
"2024-08-29 14:39:56","-53","-51","-82","-13"
"2024-08-29 14:39:57","-53","-55","-82","-11"
"2024-08-29 14:39:58","N/A","-54","-82","-12"
"2024-08-29 14:40:00","-55","","",""
"2024-08-29 14:40:02","-55","-56","-82","-11"
"2024-08-29 14:40:03","-55","-51","-82","-11"
"2024-08-29 14:40:04","-55","-52","-82","-13"
"2024-08-29 14:40:05","-55","-52","-82","-13"
"2024-08-29 14:40:06","-55","-51","-82","-14"
"2024-08-29 14:40:07","N/A","-50","-82","-12"
